"","Name","Sport","Sex","Team","n"
"2647","Ernst Ihbe","Cycling","M","Germany",1
"2648","Ernst Krebs","Canoeing","M","Germany",1
"2649","Ernst Kyburz","Wrestling","M","Switzerland",1
"2650","Ernst Lhrsen","Swimming","M","Deutscher Schwimm Verband Berlin",1
"2651","Ernst Linder","Equestrianism","M","Sweden",1
"2652","Ernst Oscar Rosell","Shooting","M","Sweden",1
"2653","Ernst Streng","Cycling","M","Germany",1
"2654","Ernst Vettori","Ski Jumping","M","Austria",1
"2655","Eros Poli","Cycling","M","Italy",1
"2656","Ervin Mszros","Fencing","M","Hungary",1
"2657","Ervin Zdor","Water Polo","M","Hungary",1
"2658","Erzsbet Gulys-Kteles","Gymnastics","F","Hungary",1
"2659","Esa Veikko Antero Kankkonen","Ski Jumping","M","Finland",1
"2660","Eskild Balschmidt Ebbesen","Rowing","M","Denmark",3
"2661","Esko Tapani Rechardt","Sailing","M","Finland",1
"2662","Esme Simiriotis","Tennis","F","Greece",1
"2663","Espen Odd Bredesen","Ski Jumping","M","Norway",1
"2664","Estbaliz Martnez Yerro","Rhythmic Gymnastics","F","Spain",1
"2665","Estela Gimnez Cid","Rhythmic Gymnastics","F","Spain",1
"2666","Estella ""Stella"" Agsteribbe (-Blits)","Gymnastics","F","Netherlands",1
"2667","Estelle Mossely","Boxing","F","France",1
"2668","Esther ""Alette"" Pos","Hockey","F","Netherlands",1
"2669","Esther B. Jones","Athletics","F","United States",1
"2670","Esther Cornelia Brand (van Heerden-)","Athletics","F","South Africa",1
"2671","Esther Ruth  Lofgren","Rowing","F","United States",1
"2672","Ethel Hannah Catherwood (-McLaren, -Mitchell)","Athletics","F","Canada",1
"2673","Ethel May Smith (-Stewart)","Athletics","F","Canada",1
"2674","Ethel Minnie Lackie (-Watkins)","Swimming","F","United States",2
"2675","Ethelda Marguerite Bleibtrey (-Schlatke)","Swimming","F","United States",3
"2676","Etienne Stott","Canoeing","M","Great Britain-1",1
"2677","Ettore Bellotto","Gymnastics","M","Italy",1
"2678","Eugen Georg Oskar Ekman","Gymnastics","M","Finland",1
"2679","Eugen Johan Anton Freiherr von Lotzbeck","Equestrianism","M","Germany",1
"2680","Eugen Mack","Gymnastics","M","Switzerland",2
"2681","Eugen Peder Pedersen Lunde","Sailing","M","Elisabeth V",1
"2682","Eugen Sigg (-Bchthold)","Rowing","M","Switzerland",1
"2683","Eugen Stahl Schmidt","Tug-Of-War","M","Denmark/Sweden",1
"2684","Eugene ""Gene"" Grazia","Ice Hockey","M","United States",1
"2685","Eugene Roy Rogers","Swimming","M","United States",1
"2686","Eugenio Monti","Bobsleigh","M","Italy-1",2
"2687","Eugne-douard Monod","Art Competitions","M","Switzerland",1
"2688","Eugne Franois Grisot","Archery","M","France",1
"2689","Eugne Henry Gravelotte","Fencing","M","France",1
"2690","Eugne Mougin","Archery","M","France",1
"2691","Eugne Van Roosbroeck","Cycling","M","Belgium",1
"2692","Eugne Victor Olivier","Fencing","M","France",1
"2693","Euphrasia Louise ""Fraze"" Donnelly (-Bungard, -Berlin)","Swimming","F","United States",1
"2694","Euro Federico Roman","Equestrianism","M","Italy",1
"2695","Eva Boskov-Vchtov (-Hlavkov)","Gymnastics","F","Czechoslovakia",1
"2696","Eva Cathrine Lindahl (Norberg-)","Curling","F","Sweden",2
"2697","Eva Maria Lund (-Eriksson)","Curling","F","Sweden",2
"2698","Eva Roma Maria de Goede","Hockey","F","Netherlands",2
"2699","Eva Samkov","Snowboarding","F","Czech Republic",1
"2700","Evan Baillie Noel","Racquets","M","Great Britain",1
"2701","Evan Frank Lysacek","Figure Skating","M","United States",1
"2702","Evandro Motta Guerra","Volleyball","M","Brazil",1
"2703","Evania Pelite","Rugby Sevens","F","Australia",1
"2704","Evelin Schlaak-Jahl (-Herberg)","Athletics","F","East Germany",2
"2705","Evelyn Ashford (-Washington)","Athletics","F","United States",4
"2706","Evelyn Pearl Furtsch (-Ojeda)","Athletics","F","United States",1
"2707","Evelyne Leu","Freestyle Skiing","F","Switzerland",1
"2708","Everard Coenraad Endt","Sailing","M","Llanoria",1
"2709","Evert Gerardus ""Eef"" Dolman","Cycling","M","Netherlands",1
"2710","Evi Sachenbacher-Stehle","Cross Country Skiing","F","Germany",2
"2711","Evy Margareta Berggren (-Westerberg)","Gymnastics","F","Sweden",1
"2712","Ewa Kobukowska","Athletics","F","Poland",1
"2713","Ewart Douglas Horsfall","Rowing","M","Leander Club-1",1
"2714","Ezekiel Kemboi Cheboi","Athletics","M","Kenya",2
"2715","Ezequiel Ivn Lavezzi","Football","M","Argentina",1
"2716","Ezequiel Marcelo Garay Gonzlez","Football","M","Argentina",1
"2717","Ezio Gamba","Judo","M","Italy",1
"2718","Ezio Roselli","Gymnastics","M","Italy",1
"2719","Fabian Cancellara","Cycling","M","Switzerland",2
"2720","Fabian Hambchen","Gymnastics","M","Germany",1
"2721","Fabiana ""Fabi"" Alvim de Oliveira","Volleyball","F","Brazil",2
"2722","Fabiana Marcelino Claudino","Volleyball","F","Brazil",2
"2723","Fabien Pierre Aurlien Dominique Gilot","Swimming","M","France",1
"2724","Fabin Luciano Monzn","Football","M","Argentina",1
"2725","Fabio Basile","Judo","M","Italy",1
"2726","Fabio Casartelli","Cycling","M","Italy",1
"2727","Fabio Dal Zotto","Fencing","M","Italy",1
"2728","Fabrice Jean-Marie Guy","Nordic Combined","M","France",1
"2729","Fabrice Jeannet","Fencing","M","France",2
"2730","Fabricio Coloccini","Football","M","Argentina",1
"2731","Fabricio Ral Jess Oberto","Basketball","M","Argentina",1
"2732","Facundo Callioni","Hockey","M","Argentina",1
"2733","Fahrudin Jusufi","Football","M","Yugoslavia",1
"2734","Faina Grigoryevna Melnik (-Veleva)","Athletics","F","Soviet Union",1
"2735","Faith Chepngetich Kibiegon","Athletics","F","Kenya",1
"2736","Faith Yvonne Leech (-Touhy)","Swimming","F","Australia",1
"2737","Falk Hoffmann","Diving","M","East Germany",1
"2738","Fani Khalkia","Athletics","F","Greece",1
"2739","Fanny ""Bobby"" Rosenfeld","Athletics","F","Canada",1
"2740","Fanny Fischer","Canoeing","F","Germany",1
"2741","Fanny Rinne","Hockey","F","Germany",1
"2742","Farpi Vignoli","Art Competitions","M","Italy",1
"2743","Fatuma Roba","Athletics","F","Ethiopia",1
"2744","Faustine Lucie Merret","Sailing","F","France",1
"2745","Fausto Alesio Acke (Padovini-)","Gymnastics","M","Sweden",1
"2746","Fazliddin Khasanbayevich Gaybnazarov","Boxing","M","Uzbekistan",1
"2747","Federica Pellegrini","Swimming","F","Italy",1
"2748","Federico Julin Fazio","Football","M","Argentina",1
"2749","Fedir Serafimovych Lashchonov","Volleyball","M","Soviet Union",1
"2750","Fedor Iwan den Hertog","Cycling","M","Netherlands",1
"2751","Fehaid Al-Deehani","Shooting","M","Individual Olympic Athletes",1
"2752","Felicity Madeline Galvez","Swimming","F","Australia",2
"2753","Felipe Anderson Perieira Gomes","Football","M","Brazil",1
"2754","Felipe Muoz Kapamas","Swimming","M","Mexico",1
"2755","Felix Adolf Schmal","Cycling","M","Austria",1
"2756","Felix Endrich","Bobsleigh","M","Switzerland-2",1
"2757","Felix Gottwald","Nordic Combined","M","Austria",3
"2758","Felix Jeffrey ""Jeff"" Farrell","Swimming","M","United States",2
"2759","Felix Loch","Luge","M","Germany",3
"2760","Feng Kun","Volleyball","F","China",1
"2761","Feng Zhe","Gymnastics","M","China",2
"2762","Ferdinand Johannes ""Hans"" Keiter","Handball","M","Germany",1
"2763","Ferdinand Reinhardt Bie","Athletics","M","Norway",1
"2764","Ferdinando Gandolfi","Water Polo","M","Italy",1
"2765","Ferdinando Mandrini","Gymnastics","M","Italy",2
"2766","Ferdinando Meglio","Fencing","M","Italy",1
"2767","Ferdinando Terruzzi","Cycling","M","Italy",1
"2768","Ferenc Bene","Football","M","Hungary",1
"2769","Ferenc Csipes","Canoeing","M","Hungary",1
"2770","Ferenc Csk (Lengvri-)","Swimming","M","Hungary",1
"2771","Ferenc Keser","Water Polo","M","Hungary",1
"2772","Ferenc Kocsis","Wrestling","M","Hungary",1
"2773","Ferenc Konrd","Water Polo","M","Hungary",1
"2774","Ferenc Mez (Grnfeld-)","Art Competitions","M","Hungary",1
"2775","Ferenc Ngrdi (Neuwirth-)","Football","M","Hungary",1
"2776","Ferenc Nmeth","Modern Pentathlon","M","Hungary",2
"2777","Ferenc Novk","Canoeing","M","Hungary",1
"2778","Ferenc Pataki","Gymnastics","M","Hungary",1
"2779","Ferenc Pusks (Purczeld-)","Football","M","Hungary",1
"2780","Ferenc Trk","Modern Pentathlon","M","Hungary",2
"2781","Fermn Cacho Ruiz","Athletics","M","Spain",1
"2782","Fernand Canteloube","Cycling","M","France",1
"2783","Fernand Gonder","Athletics","M","France",1
"2784","Fernand Jourdant","Fencing","M","France",1
"2785","Fernand Julien Decanali","Cycling","M","France",1
"2786","Fernand Marie Nisot","Football","M","Belgium",1
"2787","Fernand Vast","Cycling","M","France",1
"2788","Fernanda ""Fernandinha"" Ferreira","Volleyball","F","Brazil",1
"2789","Fernanda Garay Rodrigues","Volleyball","F","Brazil",1
"2790","Fernando Atzori","Boxing","M","Italy",1
"2791","Fernando Bonatti","Gymnastics","M","Italy",1
"2792","Fernando Echavarri Erasum","Sailing","M","Spain",1
"2793","Fernando Francisco Gonzlez Ciuffardi","Tennis","M","Chile",1
"2794","Fernando Lon Boissier","Sailing","M","Spain",1
"2795","Fernando Rubn Gago","Football","M","Argentina",1
"2796","Feroz-ud-Din ""Feroze"" Khan","Hockey","M","India",1
"2797","Ferry Weertman","Swimming","M","Netherlands",1
"2798","Fidel LaBarba","Boxing","M","United States",1
"2799","Fidelis Gadzama","Athletics","M","Nigeria",1
"2800","Filiberto Azcuy Aguilera","Wrestling","M","Cuba",2
"2801","Filip Filipovi","Water Polo","M","Serbia",1
"2802","Filip Kamil Adamski","Rowing","M","Germany",1
"2803","Filippo Emanuele Bottino","Weightlifting","M","Italy",1
"2804","Finis Dean Smith","Athletics","M","United States",1
"2805","Finn Christian Jagge","Alpine Skiing","M","Norway",1
"2806","Finn Haunstoft","Canoeing","M","Denmark",1
"2807","Finn Helgesen","Speed Skating","M","Norway",1
"2808","Finn Pedersen","Rowing","M","Denmark",1
"2809","Finn Rasmus Holmsen Mnster","Gymnastics","M","Norway",1
"2810","Fiona MacDonald (Brown-)","Curling","F","Great Britain",1
"2811","Fiorenzo Marini","Fencing","M","Italy",1
"2812","Firmin Flamand","Archery","M","Belgium",2
"2813","Flemming Davanger","Curling","M","Norway",1
"2814","Fleur Northey Mellor (-Wenham)","Athletics","F","Australia",1
"2815","Flicia Michele Sylviane Ballanger (-Vetu)","Cycling","F","France",3
"2816","Flix Balyu","Football","M","Belgium",1
"2817","Flix Manuel Daz Guzmn","Boxing","M","Dominican Republic",1
"2818","Flix Pierre Victor Bailly","Art Competitions","M","France",1
"2819","Flix Savn Fabr","Boxing","M","Cuba",3
"2820","Flix Snchez Marcelo","Athletics","M","Dominican Republic",2
"2821","Florena Andreea Isrescu","Gymnastics","F","Romania",1
"2822","Florence  Andre Isabelle Baverel-Robert","Biathlon","F","France",1
"2823","Florence Isabel ""Jane"" Bell (-Walker, -Doane)","Athletics","F","Canada",1
"2824","Florence Madeleine (Mabel-) ""Madge"" Syers (Cave-)","Figure Skating","F","Great Britain",1
"2825","Florent Manaudou","Swimming","M","France",1
"2826","Florian Fuchs","Hockey","M","Germany",1
"2827","Florian Georges Philippe Rousseau","Cycling","M","France",3
"2828","Florian Keller","Hockey","M","Germany",1
"2829","Florian Mennigen","Rowing","M","Germany",1
"2830","Florica Lavric","Rowing","F","Romania",1
"2831","Florimond Joseph Cornellie","Sailing","M","Edelweiss II-1",1
"2832","Florin Popescu","Canoeing","M","Romania",1
"2833","Floris Jan Bovelander","Hockey","M","Netherlands",1
"2834","Floyd Patterson","Boxing","M","United States",1
"2835","Folke Frithiof Martens Mrtensson","Wrestling","M","Sweden",1
"2836","Folke Ivar Reinhold Bohlin","Sailing","M","Slaghoken II",1
"2837","Ford Hiroshi Konno","Swimming","M","United States",2
"2838","Forest Waldemar McNeir","Shooting","M","United States",1
"2839","Forrest Custer Smithson","Athletics","M","United States",1
"2840","Forrest Grady Towns","Athletics","M","United States",1
"2841","Foxhall Parker Keene","Polo","M","Foxhunters Hurlingham",1
"2842","Foy Draper","Athletics","M","United States",1
"2843","Francena Lynette McCorory","Athletics","F","United States",2
"2844","Frances Clytie Rivett-Carnac (Greenstock-)","Sailing","F","Heroine",1
"2845","Frances Cowells Schroth","Swimming","F","United States",1
"2846","Francesca Bortolozzi-Borella","Fencing","F","Italy",2
"2847","Francesca Cristiana Conti","Water Polo","F","Italy",1
"2848","Francesco ""Franco"" De Piccoli","Boxing","M","Italy",1
"2849","Francesco ""Franco"" Faggi","Rowing","M","Italy",1
"2850","Francesco ""Franco"" Giorgetti","Cycling","M","Italy",1
"2851","Francesco ""Franco"" Nones","Cross Country Skiing","M","Italy",1
"2852","Francesco ""Franco"" Porzio","Water Polo","M","Italy",1
"2853","Francesco Attolico","Water Polo","M","Italy",1
"2854","Francesco Gabriotti","Football","M","Italy",1
"2855","Francesco Gargano","Fencing","M","Italy",1
"2856","Francesco Loy","Gymnastics","M","Italy",2
"2857","Francesco Martino","Gymnastics","M","Italy",2
"2858","Francesco Verri","Cycling","M","Italy",3
"2859","Francesco Zucchetti","Cycling","M","Italy",1
"2860","Francina Elsje ""Fanny"" Blankers-Koen","Athletics","F","Netherlands",4
"2861","Francis ""Frank"" Amyot","Canoeing","M","Canada",1
"2862","Francis Bede ""Frank"" Smith","Rugby","M","Australasia",1
"2863","Francis Cleveland ""Frank"" Irons","Athletics","M","United States",1
"2864","Francis Cornelius ""Frank"" Sullivan","Ice Hockey","M","Canada",1
"2865","Francis Georges Henri Moreau","Cycling","M","France",1
"2866","Francis Gerald ""Frank"" Sullivan","Ice Hockey","M","Canada",1
"2867","Francis Harland ""Frank"" Frederick","Rowing","M","United States",1
"2868","Francis Joseph ""Frank"" Dixon","Lacrosse","M","Canada",1
"2869","Francis Lee Johnson","Basketball","M","United States",1
"2870","Francis Morgan ""Daley"" Thompson","Athletics","M","Great Britain",2
"2871","Francis Pierpont Davis","Sailing","M","Angelita",1
"2872","Francis Romulus Burchell","Cricket","M","Devon and Somerset Wanderers",1
"2873","Francis Townley Haas","Swimming","M","United States",1
"2874","Francis Townsend ""Frank"" Hunter","Tennis","M","United States-2",1
"2875","Francis Valentine Joseph ""Frank"" Hussey","Athletics","M","United States",1
"2876","Francis William ""Frank"" Tyler","Bobsleigh","M","United States-2",1
"2877","Francis William Charles ""Frank"" Weldon","Equestrianism","M","Great Britain",1
"2878","Francisca Elisabeth Maria ""Elsemieke"" Hillen (-Havenga)","Hockey","F","Netherlands",1
"2879","Francisco ""Kiko"" Snchez Luna","Sailing","M","Spain",1
"2880","Francisco ""Paco"" Soler Atencia","Football","M","Spain",1
"2881","Francisco Antonio Rodrguez Brito","Boxing","M","Venezuela",1
"2882","Francisco Fernndez Ochoa","Alpine Skiing","M","Spain",1
"2883","Francisco Miguel ""Kiko"" Narvez Mochn","Football","M","Spain",1
"2884","Francisco Villota y Baquiola","Basque Pelota","M","Spain",1
"2885","Franciscus Fidelio Joseph ""Frans"" Hin","Sailing","M","Beatrijs III-1",1
"2886","Franciscus Ronaldus Maria ""Ronald"" Jansen","Hockey","M","Netherlands",2
"2887","Franck Adisson","Canoeing","M","France-1",1
"2888","Franck Dumoulin","Shooting","M","France",1
"2889","Franck Olivier Christian Franois David","Sailing","M","France",1
"2890","Franck Piccard","Alpine Skiing","M","France",1
"2891","Franco Bertinetti","Fencing","M","Italy",2
"2892","Franco Gandini","Cycling","M","Italy",1
"2893","Franco Lavoratori","Water Polo","M","Italy",1
"2894","Franco Menichelli","Gymnastics","M","Italy",1
"2895","Franco Riccardi","Fencing","M","Italy",3
"2896","Franco Testa","Cycling","M","Italy",1
"2897","Franco Tognini","Gymnastics","M","Italy",1
"2898","Franco Trincavelli","Rowing","M","Italy",1
"2899","Frank-Michael Wahl","Handball","M","East Germany",1
"2900","Frank-Peter Roetsch","Biathlon","M","East Germany",2
"2901","Frank ""Frankie"" Genaro (DiGennara-)","Boxing","M","United States",1
"2902","Frank Andy Montieth Herrera","Baseball","M","Cuba",1
"2903","Frank Bartholomew Greer","Rowing","M","United States",1
"2904","Frank Benjamin Havens","Canoeing","M","United States",1
"2905","Frank Charles Shorter","Athletics","M","United States",1
"2906","Frank Clifford Wykoff","Athletics","M","United States",3
"2907","Frank Dundr (Butz-)","Rowing","M","East Germany",1
"2908","Frank Edward McKinney, Jr.","Swimming","M","United States",1
"2909","Frank Farmer Loomis, Jr.","Athletics","M","United States",1
"2910","Frank Forberger","Rowing","M","East Germany",2
"2911","Frank Gerald Singlehurst Brewin","Hockey","M","India",1
"2912","Frank Hall","Shooting","M","United States",1
"2913","Frank Hansen","Rowing","M","Norway",1
"2914","Frank Hbner","Sailing","M","West Germany",1
"2915","Frank Henry Hughes","Shooting","M","United States",1
"2916","Frank Hugo Martin","Equestrianism","M","Sweden",1
"2917","Frank Isaac Spellman","Weightlifting","M","United States",1
"2918","Frank Jay Mackey","Polo","M","Foxhunters Hurlingham",1
"2919","Frank John Lubin","Basketball","M","United States",1
"2920","Frank Josef Kriz","Gymnastics","M","United States",1
"2921","Frank Kent Foss","Athletics","M","United States",1
"2922","Frank Klawonn","Rowing","M","East Germany",1
"2923","Frank Luck","Biathlon","M","Germany",2
"2924","Frank Martin Dooley","Swimming","M","United States",1
"2925","Frank Merlin Troeh","Shooting","M","United States",1
"2926","Frank Ostholt","Equestrianism","M","Germany",1
"2927","Frank Reamer Schell","Rowing","M","Vesper Boat Club",1
"2928","Frank Reilly McCabe","Basketball","M","United States",1
"2929","Frank Rhle","Rowing","M","East Germany",2
"2930","Frank Schepke","Rowing","M","Germany",1
"2931","Frank Seymour Wright","Shooting","M","United States",1
"2932","Frank Sherman Henry","Equestrianism","M","United States",1
"2933","Frank Tate","Boxing","M","United States",1
"2934","Frank Thomas ""Tom"" Winters, III","Swimming","M","United States",1
"2935","Frank Ullrich","Biathlon","M","East Germany",1
"2936","Frank W. Moore","Shooting","M","Great Britain-1",1
"2937","Frank Washington Jarvis","Athletics","M","United States",1
"2938","Frank Wieneke","Judo","M","West Germany",1
"2939","Frank William ""Dick"" Hyland, Jr.","Rugby","M","United States",1
"2940","Frank Wyatt Lewis","Wrestling","M","United States",1
"2941","Franke Sloothaak","Equestrianism","M","Germany",1
"2942","Franke Sloothaak","Equestrianism","M","West Germany",1
"2943","Franklin Bradford ""Frank"" Shakespeare","Rowing","M","United States",1
"2944","Franklyn Wood ""Frank"" Fisher","Ice Hockey","M","Canada",1
"2945","Frano Vian","Water Polo","M","Croatia",1
"2946","Franois-Louis Tremblay","Short Track Speed Skating","M","Canada",2
"2947","Franois ""Frans"" De Haes","Weightlifting","M","Belgium",1
"2948","Franois Alexandre mile Billard","Sailing","M","Esterel-1",1
"2949","Franois Antoine Brandt","Rowing","M","Minerva Amsterdam",1
"2950","Franois Bonlieu","Alpine Skiing","M","France",1
"2951","Franois Brisson","Football","M","France",1
"2952","Franois Hamelin","Short Track Speed Skating","M","Canada",1
"2953","Franois Herv ""Francesco"" Musso","Boxing","M","Italy",1
"2954","Franois Louis Drolet","Short Track Speed Skating","M","Canada",1
"2955","Franois tienne ""Frantz"" Reichel","Rugby","M","Union des Socits Franais de Sports Athletiques",1
"2956","Franois Xavier Edmond Marie Lesage","Equestrianism","M","France",2
"2957","Franoise Mbango Etone","Athletics","F","Cameroon",2
"2958","Frans Holger Persson","Gymnastics","M","Sweden",1
"2959","Frans Wilhelm ""Ville"" Prhl (Horneman-)","Athletics","M","Finland",1
"2960","Frantiek apek","Canoeing","M","Czechoslovakia",1
"2961","Frantiek Kuera","Ice Hockey","M","Czech Republic",1
"2962","Frantiek Kunzo","Football","M","Czechoslovakia",1
"2963","Frantiek tambacher","Football","M","Czechoslovakia",1
"2964","Frantiek Ventura","Equestrianism","M","Czechoslovakia",1
"2965","Franz Bckli","Shooting","M","Switzerland",1
"2966","Franz Ernst Beckert","Gymnastics","M","Germany",1
"2967","Franz Josef Andrysek","Weightlifting","M","Austria",1
"2968","Franz Kapus","Bobsleigh","M","Switzerland-1",1
"2969","Franz Keller","Nordic Combined","M","West Germany",1
"2970","Franz Kemser","Bobsleigh","M","Germany",1
"2971","Franz Klammer","Alpine Skiing","M","Austria",1
"2972","Franz Pfnr","Alpine Skiing","M","Germany",1
"2973","Franz Sondinger","Art Competitions","M","Germany",1
"2974","Franz Wembacher","Luge","M","West Germany-1",1
"2975","Franz Xaver Schmid","Alpinism","M","Germany",1
"2976","Franziska Gude (-Lwe)","Hockey","F","Germany",1
"2977","Franziska Weber","Canoeing","F","Germany",1
"2978","Frdric-Albert Gustave Bruynseels","Sailing","M","Edelweiss II-1",1
"2979","Frdric Delpla","Fencing","M","France",1
"2980","Frdric Pietruszka","Fencing","M","France",1
"2981","Frdrik Edouard Robert ""Fred"" Deburghgraeve","Swimming","M","Belgium",1
"2982","Fred Anton Maier","Speed Skating","M","Norway",1
"2983","Fred Brre Lundberg","Nordic Combined","M","Norway",2
"2984","Fred Rudolph Etchen, Sr.","Shooting","M","United States",1
"2985","Frederic Delmont ""Fred"" Tootell","Athletics","M","United States",1
"2986","Frederich Cepeda Cruz","Baseball","M","Cuba",1
"2987","Frederick ""Fred"" Cresser","Rowing","M","Vesper Boat Club",1
"2988","Frederick ""Fred"" Grace","Boxing","M","Great Britain",1
"2989","Frederick ""Fred"" Holman","Swimming","M","Great Britain",1
"2990","Frederick ""Fred"" Sheffield","Rowing","M","United States",1
"2991","Frederick Carlton ""Carl"" Lewis","Athletics","M","United States",9
"2992","Frederick Charles ""Charlie"" Delahey","Ice Hockey","M","Canada",1
"2993","Frederick Claude Vivian ""Fred"" Lane","Swimming","M","Australia",2
"2994","Frederick Daniel ""Fred"" Tyler","Swimming","M","United States",1
"2995","Frederick Ferdinand ""Freddie"" Wolff","Athletics","M","Great Britain",1
"2996","Frederick George ""Fred"" Spackman","Football","M","Upton Park FC",1
"2997","Frederick Harkness Humphreys","Tug-Of-War","M","Great Britain",1
"2998","Frederick Harkness Humphreys","Tug-Of-War","M","London City Police-1",1
"2999","Frederick Harris Merriman","Tug-Of-War","M","London City Police-1",1
"3000","Frederick Morgan ""Fred"" Hansen","Athletics","M","United States",1
"3001","Frederick Morgan Taylor","Athletics","M","United States",1
"3002","Frederick Pitt ""Fred"" Alderman","Athletics","M","United States",1
"3003","Frederick Septimus Kelly","Rowing","M","Leander Club-1",1
"3004","Frederick Sparkes Norman Bingley","Sailing","M","Heroine",1
"3005","Frederick Stapleton","Water Polo","M","Osborne Swimming Club, Manchester",1
"3006","Frederick Stephen Seaman","Hockey","M","India",1
"3007","Frederick Sylvester ""Fred"" Hird","Shooting","M","United States",1
"3008","Frederick Vaughn ""Fred"" Newhouse","Athletics","M","United States",1
"3009","Frederick Warren ""Fred"" Kelly","Athletics","M","United States",1
"3010","Frederick Weber ""Fred"" Schmidt","Swimming","M","United States",1
"3011","Frederick Whitfield Barrett","Polo","M","Great Britain",1
"3012","Frederick William ""Fred"" Holmes","Tug-Of-War","M","Great Britain",1
"3013","Frederick William ""Fred"" Schule","Athletics","M","United States",1
"3014","Frederick William ""Fred"" Steep","Football","M","Galt Football Club",1
"3015","Frederick William Chapman","Football","M","Great Britain",1
"3016","Frederick William Christian","Cricket","M","Devon and Somerset Wanderers",1
"3017","Frederick William Cuming","Cricket","M","Devon and Somerset Wanderers",1
"3018","Frederick William Goodfellow","Tug-Of-War","M","London City Police-1",1
"3019","Frederike Jacobie ""Mieke"" Cabout","Water Polo","F","Netherlands",1
"3020","Frederike Johanna Maria ""Femke"" Heemskerk","Swimming","F","Netherlands",1
"3021","Fredrik Jakob Tage Ulfstand Rosencrantz","Equestrianism","M","Sweden",1
"3022","Fredrik Jan-Ove Stillman","Ice Hockey","M","Sweden",1
"3023","Fredrik Max Emil Lf","Sailing","M","Sweden",1
"3024","Fredrik Teodor Koskenniemi","Athletics","M","Finland",1
"3025","Fredy Schmidtke","Cycling","M","West Germany",1
"3026","Frentorish ""Tori"" Bowie","Athletics","F","United States",1
"3027","Frey Fritiof ""Frej"" Liewendahl","Athletics","M","Finland",1
"3028","Frid Mnsurov","Wrestling","M","Azerbaijan",1
"3029","Friederike ""Friedl"" Iby (-Kopp)","Gymnastics","F","Germany",1
"3030","Friedhelm Wentzke","Canoeing","M","Germany",1
"3031","Friedrich-Wilhelm Ulrich","Rowing","M","East Germany",2
"3032","Friedrich ""Fritz"" Fischer","Biathlon","M","Germany",1
"3033","Friedrich ""Fritz"" Kuhn","Bobsleigh","M","Germany",1
"3034","Friedrich ""Fritz"" Waller","Bobsleigh","M","Switzerland-2",1
"3035","Friedrich Adolf ""Fritz"" Traun","Tennis","M","Great Britain/Germany",1
"3036","Friedrich Lthi","Shooting","M","Switzerland",1
"3037","Friedrich Wilhelm Gerhard","Equestrianism","M","Germany",1
"3038","Frithjof Olsen","Gymnastics","M","Norway",1
"3039","Frithjof Olsen Slen","Gymnastics","M","Norway",1
"3040","Fritz ""Itze"" Gunst","Water Polo","M","Germany",1
"3041","Fritz Albert Erich Rademacher","Water Polo","M","Germany",1
"3042","Fritz Bauer","Rowing","M","Germany",1
"3043","Fritz Fromm","Handball","M","Germany",1
"3044","Fritz Hagmann","Wrestling","M","Switzerland",1
"3045","Fritz Ligges","Equestrianism","M","West Germany",1
"3046","Fritz Richard Gustav Schuft","Gymnastics","M","Germany",2
"3047","Fritz Schmidt","Hockey","M","West Germany",1
"3048","Fritz Spengler","Handball","M","Germany",1
"3049","Fritz Strobl","Alpine Skiing","M","Austria",1
"3050","Fritz Thiedemann","Equestrianism","M","Germany",2
"3051","Frode Andresen","Biathlon","M","Norway",1
"3052","Frode Estil","Cross Country Skiing","M","Norway",2
"3053","Ftima Moreira de Melo","Hockey","F","Netherlands",1
"3054","Fu Haifeng","Badminton","M","China-1",2
"3055","Fu Mingxia","Diving","F","China",4
"3056","Fulvio Valbusa","Cross Country Skiing","M","Italy",1
"3057","Fyodor Aleksandrovich Klimov","Figure Skating","M","Russia",1
"3058","Fyodor Fyodorovich Bogdanovsky","Weightlifting","M","Soviet Union",1
"3059","Fyodor Mikhaylovich Terentyev","Cross Country Skiing","M","Soviet Union",1
"3060","Fyodor Petrovich Simashov","Cross Country Skiing","M","Soviet Union",1
"3061","Fyodor Vasilyevich Shutkov","Sailing","M","Tornado",1
"3062","G. Alberto Braglia","Gymnastics","M","Italy",3
"3063","G. Tarantino","Rowing","M","Marinai della nave da guerra ""Varese""",1
"3064","Gabriel Barbosa Almeida","Football","M","Brazil",1
"3065","Gabriel Bryan ""Gabe"" Gardner","Volleyball","M","United States",1
"3066","Gabriel Diego Fernndez","Basketball","M","Argentina",1
"3067","Gabriel Fernando de Jesus","Football","M","Brazil",1
"3068","Gabriel Thorstensen","Gymnastics","M","Norway",1
"3069","Gabriel Vidal Nova","Football","M","Spain",1
"3070","Gabriela Grillo","Equestrianism","F","West Germany",1
"3071","Gabriela Szabo (-Gyngyssy)","Athletics","F","Romania",1
"3072","Gabriele ""Gabi"" Lohs-Khn","Rowing","F","East Germany",2
"3073","Gabriele Rossetti","Shooting","M","Italy",1
"3074","Gabriella Dorio (-Spigarolo)","Athletics","F","Italy",1
"3075","Gabriella Paruzzi","Cross Country Skiing","F","Italy",1
"3076","Gabriella Timea Szab","Canoeing","F","Hungary",3
"3077","Gabrielle Christina Victoria ""Gabby"" Douglas","Gymnastics","F","United States",3
"3078","Gail Louise Miller (-Tune)","Water Polo","F","Australia",1
