"","Year","Team","Season","total"
"147",1904,"United States-4","Summer",2
"148",1904,"United States Golf Association-3","Summer",10
"149",1904,"Vesper Boat Club","Summer",9
"150",1904,"Western Golf Association-1","Summer",10
"151",1904,"Western Rowing Club-3","Summer",6
"152",1904,"Winnipeg Shamrocks-1","Summer",12
"153",1906,"Australia","Summer",3
"154",1906,"Austria","Summer",9
"155",1906,"Barion/Bari-2","Summer",3
"156",1906,"Belgium","Summer",9
"157",1906,"Bohemia","Summer",3
"158",1906,"Bucintoro Venezia","Summer",8
"159",1906,"Bucintoro Venezia-1","Summer",3
"160",1906,"Canada","Summer",2
"161",1906,"Denmark","Summer",34
"162",1906,"Finland","Summer",4
"163",1906,"France","Summer",45
"164",1906,"Germany","Summer",30
"165",1906,"Great Britain","Summer",31
"166",1906,"Greece","Summer",28
"167",1906,"Greece-1","Summer",4
"168",1906,"Greece-2","Summer",2
"169",1906,"Hungary","Summer",13
"170",1906,"Italy","Summer",9
"171",1906,"Large boat, Central Naval Prep School ""Poros""-1","Summer",17
"172",1906,"Life boat naval ship ""Spetsai""-1","Summer",7
"173",1906,"Marinai della nave da guerra ""Varese""","Summer",24
"174",1906,"Netherlands","Summer",6
"175",1906,"Norway","Summer",25
"176",1906,"Omas Helliniki P. S.","Summer",8
"177",1906,"Phalainis ton Thorichtou ""Hydra""-2","Summer",24
"178",1906,"Pistoja/Firenze","Summer",9
"179",1906,"Royal Club Nautique de Gand","Summer",3
"180",1906,"Smyrna","Summer",11
"181",1906,"Socit Nautique de Bayonne-1","Summer",3
"182",1906,"Socit Nautique de Bayonne-2","Summer",5
"183",1906,"Socit Nautique de la Basse Seine-1","Summer",8
"184",1906,"Sweden","Summer",21
"185",1906,"Switzerland","Summer",12
"186",1906,"Thessalonki-1","Summer",11
"187",1906,"United States","Summer",24
"188",1908,"Amstel Amsterdam","Summer",4
"189",1908,"Argonaut Rowing Club","Summer",6
"190",1908,"Australasia","Summer",19
"191",1908,"Austria","Summer",1
"192",1908,"Belgium","Summer",21
"193",1908,"Berliner Ruderclub","Summer",2
"194",1908,"Bohemia","Summer",6
"195",1908,"Cambridge University Boat Club-2","Summer",9
"196",1908,"Camille","Summer",1
"197",1908,"Canada","Summer",37
"198",1908,"Cobweb-1","Summer",5
"199",1908,"Cornwall","Summer",15
"200",1908,"Denmark","Summer",17
"201",1908,"Dormy-1","Summer",3
"202",1908,"England-1","Summer",11
"203",1908,"Finland","Summer",30
"204",1908,"France","Summer",36
"205",1908,"Germany","Summer",19
"206",1908,"Great Britain","Summer",167
"207",1908,"Great Britain-1","Summer",14
"208",1908,"Great Britain-2","Summer",14
"209",1908,"Great Britain-3","Summer",4
"210",1908,"Greece","Summer",4
"211",1908,"Guyoni","Summer",3
"212",1908,"Gyrinus-1","Summer",6
"213",1908,"Hera-1","Summer",10
"214",1908,"Heroine","Summer",4
"215",1908,"Hungary","Summer",20
"216",1908,"Hurlingham-2","Summer",4
"217",1908,"Ireland-2","Summer",12
"218",1908,"Ireland-3","Summer",4
"219",1908,"Italy","Summer",8
"220",1908,"K Division Metropolitan Police Team-3","Summer",8
"221",1908,"Leander Club-1","Summer",9
"222",1908,"Leander Club-2","Summer",4
"223",1908,"Leander Club #1-1","Summer",2
"224",1908,"Leander Club #2-2","Summer",2
"225",1908,"Liverpool Police Team-2","Summer",8
"226",1908,"London City Police-1","Summer",8
"227",1908,"Magdalen College Boat Club-1","Summer",4
"228",1908,"Mouchette-2","Summer",10
"229",1908,"Netherlands","Summer",12
"230",1908,"Norway","Summer",42
"231",1908,"Roehampton-1","Summer",4
"232",1908,"Royal Club Nautique de Gand","Summer",9
"233",1908,"Russia","Summer",3
"234",1908,"Scotland-3","Summer",11
"235",1908,"Sorais-2","Summer",5
"236",1908,"South Africa","Summer",2
"237",1908,"Sweden","Summer",79
"238",1908,"Toronto Argonauts","Summer",9
"239",1908,"United States","Summer",65
"240",1908,"Vinga-1","Summer",5
"241",1908,"Wales-4","Summer",11
"242",1908,"Zut","Summer",3
"243",1912,"Australasia","Summer",10
"244",1912,"Austria","Summer",14
"245",1912,"Belgium","Summer",19
"246",1912,"Berliner Ruderverein von 1876-2","Summer",9
"247",1912,"Canada","Summer",8
"248",1912,"Denmark","Summer",74
"249",1912,"England","Summer",1
"250",1912,"England-1","Summer",12
"251",1912,"Erna Signe","Summer",10
"252",1912,"Finland","Summer",52
"253",1912,"France","Summer",23
"254",1912,"Gallia II","Summer",7
"255",1912,"Germany","Summer",39
"256",1912,"Great Britain","Summer",128
"257",1912,"Great Britain-1","Summer",2
"258",1912,"Great Britain-2","Summer",4
"259",1912,"Greece","Summer",2
"260",1912,"Heatherbell","Summer",7
"261",1912,"Hungary","Summer",30
"262",1912,"Italy","Summer",25
"263",1912,"Kerstin-1","Summer",3
"264",1912,"Kitty-1","Summer",8
"265",1912,"Kristiania Roklub-1","Summer",5
"266",1912,"Leander Club-1","Summer",9
"267",1912,"Lucky Girl-1","Summer",5
"268",1912,"Ludwigshafener Ruderverein","Summer",5
"269",1912,"Mac Miche","Summer",3
"270",1912,"Magda IX","Summer",10
"271",1912,"Netherlands","Summer",26
"272",1912,"New College, Oxford-2","Summer",9
"273",1912,"Nina","Summer",7
"274",1912,"Norway","Summer",55
"275",1912,"Nurdug II","Summer",3
"276",1912,"Nykjbings paa Falster","Summer",5
"277",1912,"Ormsund Roklub-2","Summer",5
"278",1912,"Polyteknisk Roklub-1","Summer",5
"279",1912,"Roddklubben af 1912-1","Summer",5
"280",1912,"Russia","Summer",7
"281",1912,"Sans Atout-1","Summer",5
"282",1912,"South Africa","Summer",7
"283",1912,"Sweden","Summer",153
"284",1912,"Sweden-1","Summer",2
"285",1912,"Sweden-2","Summer",2
"286",1912,"Sweden-3","Summer",2
"287",1912,"Switzerland","Summer",2
"288",1912,"Taifun","Summer",5
"289",1912,"Thames Rowing Club","Summer",5
"290",1912,"United States","Summer",107
"291",1920,"Ancora","Summer",4
"292",1920,"Antwerpia V","Summer",5
"293",1920,"Atlanta","Summer",9
"294",1920,"Australia","Summer",7
"295",1920,"Beatrijs III-1","Summer",3
"296",1920,"Belgium","Summer",177
"297",1920,"Boreas-2","Summer",2
"298",1920,"Brazil","Summer",7
"299",1920,"Canada","Summer",16
"300",1920,"Czechoslovakia","Summer",10
"301",1920,"Denmark","Summer",71
"302",1920,"Edelweiss II-1","Summer",3
"303",1920,"Eleda","Summer",7
"304",1920,"Elsie","Summer",4
"305",1920,"Estonia","Summer",3
"306",1920,"Finland","Summer",52
"307",1920,"Fornebo","Summer",4
"308",1920,"France","Summer",134
"309",1920,"France-3","Summer",4
"310",1920,"Great Britain","Summer",101
"311",1920,"Great Britain-1","Summer",2
"312",1920,"Great Britain-2","Summer",2
"313",1920,"Great Britain-3","Summer",2
"314",1920,"Greece","Summer",5
"315",1920,"Heira II","Summer",9
"316",1920,"Irene","Summer",5
"317",1920,"Italy","Summer",84
"318",1920,"Japan","Summer",3
"319",1920,"Jo","Summer",3
"320",1920,"Kullan","Summer",3
"321",1920,"Luxembourg","Summer",1
"322",1920,"Lyn-2","Summer",5
"323",1920,"Marmi II-1","Summer",3
"324",1920,"Mosk II","Summer",7
"325",1920,"Netherlands","Summer",42
"326",1920,"New Zealand","Summer",1
"327",1920,"Norway","Summer",78
"328",1920,"Oranje","Summer",3
"329",1920,"Rose Pompon","Summer",3
"330",1920,"Sif","Summer",4
"331",1920,"Sildra-1","Summer",4
"332",1920,"South Africa","Summer",21
"333",1920,"Spain","Summer",23
"334",1920,"Stella-2","Summer",3
"335",1920,"Sweden","Summer",143
"336",1920,"Switzerland","Summer",29
"337",1920,"Tan-Fe-Pah","Summer",3
"338",1920,"United States","Summer",194
"339",1924,"Argentina","Summer",10
