"","Year","Team","total"
"916",1972,"West Germany",102
"917",1972,"West Germany-1",8
"918",1972,"West Germany-2",2
"919",1972,"Yugoslavia",18
"920",1976,"Australia",23
"921",1976,"Austria",6
"922",1976,"Austria-1",2
"923",1976,"Belgium",9
"924",1976,"Bermuda",1
"925",1976,"Brazil",3
"926",1976,"Bulgaria",39
"927",1976,"Canada",26
"928",1976,"Cuba",24
"929",1976,"Czechoslovakia",34
"930",1976,"Denmark",8
"931",1976,"East Germany",215
"932",1976,"East Germany-1",8
"933",1976,"East Germany-2",4
"934",1976,"Finland",22
"935",1976,"France",21
"936",1976,"Great Britain",33
"937",1976,"Hungary",55
"938",1976,"Iran",2
"939",1976,"Italy",35
"940",1976,"Jamaica",2
"941",1976,"Japan",41
"942",1976,"Liechtenstein",2
"943",1976,"Mexico",2
"944",1976,"Mongolia",1
"945",1976,"Netherlands",20
"946",1976,"New Zealand",25
"947",1976,"North Korea",2
"948",1976,"Norway",16
"949",1976,"Pakistan",16
"950",1976,"Poland",73
"951",1976,"Portugal",2
"952",1976,"Puerto Rico",1
"953",1976,"Romania",55
"954",1976,"South Korea",17
"955",1976,"Soviet Union",336
"956",1976,"Soviet Union-1",4
"957",1976,"Soviet Union-2",2
"958",1976,"Spain",6
"959",1976,"Sweden",12
"960",1976,"Switzerland",13
"961",1976,"Switzerland-1",2
"962",1976,"Switzerland-2",4
"963",1976,"Thailand",1
"964",1976,"Trinidad and Tobago",1
"965",1976,"United States",173
"966",1976,"United States-1",2
"967",1976,"Venezuela",1
"968",1976,"West Germany",102
"969",1976,"West Germany-1",8
"970",1976,"Yugoslavia",19
"971",1980,"Australia",13
"972",1980,"Austria",11
"973",1980,"Austria-1",2
"974",1980,"Belgium",1
"975",1980,"Brazil",9
"976",1980,"Bulgaria",91
"977",1980,"Canada",2
"978",1980,"Cuba",20
"979",1980,"Czechoslovakia",52
"980",1980,"Denmark",8
"981",1980,"East Germany",287
"982",1980,"East Germany-1",10
"983",1980,"East Germany-2",6
"984",1980,"Ethiopia",4
"985",1980,"Finland",21
"986",1980,"France",30
"987",1980,"Great Britain",48
"988",1980,"Greece",5
"989",1980,"Guyana",1
"990",1980,"Hungary",63
"991",1980,"India",16
"992",1980,"Ireland",3
"993",1980,"Italy",38
"994",1980,"Italy-1",2
"995",1980,"Jamaica",3
"996",1980,"Japan",1
"997",1980,"Lebanon",1
"998",1980,"Liechtenstein",4
"999",1980,"Mexico",10
"1000",1980,"Mongolia",4
"1001",1980,"Netherlands",10
"1002",1980,"North Korea",5
"1003",1980,"Norway",15
"1004",1980,"Poland",50
"1005",1980,"Romania",68
"1006",1980,"Soviet Union",488
"1007",1980,"Soviet Union-1",4
"1008",1980,"Soviet Union-2",4
"1009",1980,"Spain",24
"1010",1980,"Sweden",43
"1011",1980,"Switzerland",5
"1012",1980,"Switzerland-1",4
"1013",1980,"Switzerland-2",2
"1014",1980,"Tanzania",2
"1015",1980,"Uganda",1
"1016",1980,"United States",30
"1017",1980,"Venezuela",1
"1018",1980,"West Germany",8
"1019",1980,"Yugoslavia",57
"1020",1980,"Zimbabwe",15
"1021",1984,"Algeria",2
"1022",1984,"Australia",52
"1023",1984,"Austria",4
"1024",1984,"Belgium",5
"1025",1984,"Brazil",36
"1026",1984,"Cameroon",1
"1027",1984,"Canada",91
"1028",1984,"China",74
"1029",1984,"Chinese Taipei",1
"1030",1984,"Colombia",1
"1031",1984,"Cote d'Ivoire",1
"1032",1984,"Czechoslovakia",28
"1033",1984,"Denmark",13
"1034",1984,"Dominican Republic",1
"1035",1984,"East Germany",19
"1036",1984,"East Germany-1",8
"1037",1984,"East Germany-2",6
"1038",1984,"Egypt",1
"1039",1984,"Finland",31
"1040",1984,"France",70
"1041",1984,"Great Britain",71
"1042",1984,"Great Britain-1",2
"1043",1984,"Greece",2
"1044",1984,"Iceland",1
"1045",1984,"Ireland",1
"1046",1984,"Italy",65
"1047",1984,"Jamaica",7
"1048",1984,"Japan",50
"1049",1984,"Kenya",3
"1050",1984,"Liechtenstein",2
"1051",1984,"Mexico",6
"1052",1984,"Morocco",2
"1053",1984,"Netherlands",41
"1054",1984,"New Zealand",23
"1055",1984,"Nigeria",5
"1056",1984,"Norway",19
"1057",1984,"Pakistan",16
"1058",1984,"Peru",1
"1059",1984,"Portugal",3
"1060",1984,"Puerto Rico",2
"1061",1984,"Romania",106
"1062",1984,"South Korea",41
"1063",1984,"Soviet Union",44
"1064",1984,"Soviet Union-1",6
"1065",1984,"Soviet Union-2",6
"1066",1984,"Spain",19
"1067",1984,"Sweden",64
"1068",1984,"Switzerland",17
"1069",1984,"Switzerland-1",4
"1070",1984,"Syria",1
"1071",1984,"Thailand",1
"1072",1984,"Turkey",3
"1073",1984,"United States",359
"1074",1984,"United States-1",2
"1075",1984,"Venezuela",3
"1076",1984,"West Germany",164
"1077",1984,"West Germany-1",2
"1078",1984,"Yugoslavia",88
"1079",1984,"Zambia",1
"1080",1988,"Argentina",13
"1081",1988,"Australia",35
"1082",1988,"Austria",13
"1083",1988,"Belgium",2
"1084",1988,"Brazil",23
"1085",1988,"Bulgaria",41
"1086",1988,"Canada",27
"1087",1988,"Canada-1",2
"1088",1988,"Chile",1
"1089",1988,"China",50
"1090",1988,"China-1",2
"1091",1988,"Colombia",1
"1092",1988,"Costa Rica",1
"1093",1988,"Czechoslovakia",16
"1094",1988,"Denmark",7
"1095",1988,"Djibouti",1
"1096",1988,"East Germany",201
"1097",1988,"East Germany-1",8
"1098",1988,"East Germany-2",4
"1099",1988,"Finland",38
"1100",1988,"France",31
"1101",1988,"Great Britain",54
"1102",1988,"Greece",1
"1103",1988,"Hungary",44
"1104",1988,"Indonesia",3
"1105",1988,"Iran",1
"1106",1988,"Italy",37
"1107",1988,"Jamaica",7
"1108",1988,"Japan",21
"1109",1988,"Kenya",9
"1110",1988,"Liechtenstein",1
"1111",1988,"Mexico",2
"1112",1988,"Mongolia",1
"1113",1988,"Morocco",3
"1114",1988,"Netherlands",52
"1115",1988,"Netherlands Antilles",1
"1116",1988,"New Zealand",24
"1117",1988,"Norway",33
"1118",1988,"Pakistan",1
"1119",1988,"Peru",12
"1120",1988,"Philippines",1
"1121",1988,"Poland",21
"1122",1988,"Portugal",1
"1123",1988,"Romania",58
"1124",1988,"Senegal",1
"1125",1988,"South Korea",75
"1126",1988,"South Korea-2",2
"1127",1988,"Soviet Union",352
"1128",1988,"Soviet Union-1",6
"1129",1988,"Soviet Union-2",8
"1130",1988,"Spain",5
"1131",1988,"Suriname",1
"1132",1988,"Sweden",46
"1133",1988,"Switzerland",24
"1134",1988,"Switzerland-1",4
"1135",1988,"Thailand",1
"1136",1988,"Turkey",2
"1137",1988,"United States",212
"1138",1988,"United States-1",2
"1139",1988,"United States Virgin Islands",1
"1140",1988,"West Germany",127
"1141",1988,"West Germany-1",2
"1142",1988,"Yugoslavia",69
"1143",1992,"Algeria",2
"1144",1992,"Argentina",2
"1145",1992,"Australia",57
"1146",1992,"Austria",31
"1147",1992,"Austria-1",4
"1148",1992,"Bahamas",1
"1149",1992,"Belgium",3
"1150",1992,"Brazil",14
"1151",1992,"Bulgaria",17
"1152",1992,"Canada",78
"1153",1992,"Canada-1",2
"1154",1992,"China",73
"1155",1992,"China-1",6
"1156",1992,"China-2",6
"1157",1992,"Chinese Taipei",20
"1158",1992,"Colombia",1
"1159",1992,"Croatia",15
"1160",1992,"Cuba",69
"1161",1992,"Czechoslovakia",33
"1162",1992,"Czechoslovakia-1",2
"1163",1992,"Denmark",14
"1164",1992,"Estonia",3
"1165",1992,"Ethiopia",3
"1166",1992,"Finland",20
"1167",1992,"France",65
"1168",1992,"France-1",4
"1169",1992,"Germany",224
"1170",1992,"Germany-1",8
"1171",1992,"Germany-2",4
"1172",1992,"Ghana",20
"1173",1992,"Great Britain",50
"1174",1992,"Greece",2
"1175",1992,"Hungary",45
"1176",1992,"Individual Olympic Athletes",3
"1177",1992,"Indonesia",4
"1178",1992,"Indonesia-1",2
"1179",1992,"Iran",3
"1180",1992,"Ireland",2
"1181",1992,"Israel",2
"1182",1992,"Italy",64
"1183",1992,"Italy-1",2
"1184",1992,"Jamaica",4
"1185",1992,"Japan",59
"1186",1992,"Kenya",8
"1187",1992,"Latvia",3
"1188",1992,"Lithuania",13
"1189",1992,"Luxembourg",2
"1190",1992,"Malaysia-2",2
"1191",1992,"Mexico",1
"1192",1992,"Mongolia",2
"1193",1992,"Morocco",3
"1194",1992,"Namibia",2
"1195",1992,"Netherlands",37
"1196",1992,"New Zealand",16
"1197",1992,"Nigeria",11
"1198",1992,"North Korea",9
"1199",1992,"North Korea-1",2
"1200",1992,"Norway",47
"1201",1992,"Pakistan",16
"1202",1992,"Peru",1
"1203",1992,"Philippines",1
"1204",1992,"Poland",46
"1205",1992,"Puerto Rico",1
"1206",1992,"Qatar",1
"1207",1992,"Romania",53
"1208",1992,"Slovenia",6
"1209",1992,"South Africa",3
"1210",1992,"South Korea",44
"1211",1992,"South Korea-1",8
"1212",1992,"South Korea-2",4
"1213",1992,"Spain",70
"1214",1992,"Suriname",1
"1215",1992,"Sweden",42
"1216",1992,"Switzerland",2
"1217",1992,"Switzerland-1",6
"1218",1992,"Thailand",1
"1219",1992,"Turkey",6
"1220",1992,"Unified Team",271
"1221",1992,"Unified Team-1",4
"1222",1992,"Unified Team-2",4
"1223",1992,"United States",236
"1224",1992,"United States-1",2
"1225",1994,"Australia",4
"1226",1994,"Austria",12
"1227",1994,"Belarus",2
"1228",1994,"Canada",35
"1229",1994,"Canada-1",2
"1230",1994,"China",3
"1231",1994,"Finland",30
"1232",1994,"France",11
"1233",1994,"Germany",30
"1234",1994,"Germany-1",6
"1235",1994,"Germany-2",4
"1236",1994,"Great Britain",3
"1237",1994,"Italy",26
"1238",1994,"Italy-1",4
"1239",1994,"Italy-2",2
"1240",1994,"Japan",10
"1241",1994,"Kazakhstan",3
"1242",1994,"Netherlands",4
"1243",1994,"Norway",30
"1244",1994,"Russia",28
"1245",1994,"Russia-1",4
"1246",1994,"Russia-2",4
"1247",1994,"Slovenia",3
"1248",1994,"South Korea",9
"1249",1994,"Sweden",24
"1250",1994,"Switzerland",8
"1251",1994,"Switzerland-1",6
"1252",1994,"Switzerland-2",2
"1253",1994,"Ukraine",2
"1254",1994,"United States",19
"1255",1994,"Uzbekistan",1
"1256",1996,"Algeria",3
"1257",1996,"Argentina",20
"1258",1996,"Armenia",2
"1259",1996,"Australia",130
"1260",1996,"Australia-1",2
"1261",1996,"Austria",3
"1262",1996,"Azerbaijan",1
"1263",1996,"Bahamas",5
"1264",1996,"Belarus",23
"1265",1996,"Belgium",6
"1266",1996,"Brazil",59
"1267",1996,"Brazil-1",2
"1268",1996,"Brazil-2",2
"1269",1996,"Bulgaria",21
"1270",1996,"Burundi",1
"1271",1996,"Canada",48
"1272",1996,"Canada-1",2
"1273",1996,"China",94
"1274",1996,"China-1",4
"1275",1996,"China-2",8
"1276",1996,"Chinese Taipei",1
"1277",1996,"Costa Rica",1
"1278",1996,"Croatia",28
"1279",1996,"Cuba",55
"1280",1996,"Czech Republic",11
"1281",1996,"Czech Republic-1",2
"1282",1996,"Denmark",23
"1283",1996,"Ecuador",1
"1284",1996,"Ethiopia",3
"1285",1996,"Finland",4
"1286",1996,"France",49
"1287",1996,"France-1",2
"1288",1996,"Georgia",2
"1289",1996,"Germany",122
"1290",1996,"Germany-1",2
"1291",1996,"Great Britain",26
"1292",1996,"Greece",8
"1293",1996,"Hong Kong",1
"1294",1996,"Hungary",43
"1295",1996,"India",1
"1296",1996,"Indonesia",4
"1297",1996,"Indonesia-1",2
"1298",1996,"Iran",3
"1299",1996,"Ireland",4
"1300",1996,"Israel",1
"1301",1996,"Italy",71
"1302",1996,"Jamaica",16
"1303",1996,"Japan",42
"1304",1996,"Kazakhstan",11
"1305",1996,"Kenya",8
"1306",1996,"Latvia",1
"1307",1996,"Lithuania",11
"1308",1996,"Malaysia",1
"1309",1996,"Malaysia-1",2
"1310",1996,"Mexico",1
"1311",1996,"Moldova",3
"1312",1996,"Mongolia",1
"1313",1996,"Morocco",2
"1314",1996,"Mozambique",1
"1315",1996,"Namibia",2
"1316",1996,"Netherlands",73
"1317",1996,"New Zealand",9
"1318",1996,"Nigeria",24
"1319",1996,"North Korea",5
"1320",1996,"Norway",23
"1321",1996,"Philippines",1
"1322",1996,"Poland",22
"1323",1996,"Portugal",3
"1324",1996,"Puerto Rico",1
"1325",1996,"Romania",38
"1326",1996,"Russia",115
"1327",1996,"Serbia and Montenegro",26
"1328",1996,"Slovakia",3
"1329",1996,"Slovenia",2
"1330",1996,"South Africa",5
"1331",1996,"South Korea",56
"1332",1996,"South Korea-1",4
"1333",1996,"South Korea-2",6
"1334",1996,"Spain",66
"1335",1996,"Sweden",31
"1336",1996,"Switzerland",11
"1337",1996,"Syria",1
"1338",1996,"Thailand",2
"1339",1996,"Tonga",1
"1340",1996,"Trinidad and Tobago",2
"1341",1996,"Tunisia",1
"1342",1996,"Turkey",6
"1343",1996,"Uganda",1
"1344",1996,"Ukraine",34
"1345",1996,"United States",255
"1346",1996,"United States-1",2
"1347",1996,"United States-2",2
"1348",1996,"Uzbekistan",2
"1349",1996,"Zambia",1
"1350",1998,"Australia",1
"1351",1998,"Austria",20
"1352",1998,"Belarus",2
"1353",1998,"Belgium",1
"1354",1998,"Bulgaria",1
"1355",1998,"Canada",47
"1356",1998,"Canada-1",2
"1357",1998,"China",14
"1358",1998,"Czech Republic",23
"1359",1998,"Denmark",5
"1360",1998,"Finland",58
"1361",1998,"France",13
"1362",1998,"France-1",2
"1363",1998,"Germany",34
"1364",1998,"Germany-1",6
"1365",1998,"Germany-2",4
"1366",1998,"Great Britain",4
"1367",1998,"Italy",15
"1368",1998,"Italy-1",2
"1369",1998,"Japan",13
"1370",1998,"Kazakhstan",2
"1371",1998,"Netherlands",11
"1372",1998,"Norway",40
"1373",1998,"Russia",44
"1374",1998,"Russia-1",4
"1375",1998,"Russia-2",4
"1376",1998,"South Korea",12
"1377",1998,"Sweden",7
"1378",1998,"Switzerland",10
"1379",1998,"Switzerland-1",4
"1380",1998,"Ukraine",1
"1381",1998,"United States",30
"1382",1998,"United States-1",2
"1383",1998,"United States-2",2
"1384",2000,"Algeria",5
"1385",2000,"Argentina",20
"1386",2000,"Armenia",1
"1387",2000,"Australia",181
"1388",2000,"Australia-1",2
"1389",2000,"Austria",4
"1390",2000,"Azerbaijan",3
"1391",2000,"Bahamas",11
"1392",2000,"Barbados",1
"1393",2000,"Belarus",22
"1394",2000,"Belgium",7
"1395",2000,"Brazil",42
"1396",2000,"Brazil-1",4
"1397",2000,"Brazil-2",2
"1398",2000,"Bulgaria",13
"1399",2000,"Cameroon",18
"1400",2000,"Canada",31
"1401",2000,"Chile",17
"1402",2000,"China",65
"1403",2000,"China-1",6
"1404",2000,"China-2",8
"1405",2000,"Chinese Taipei",5
"1406",2000,"Colombia",1
"1407",2000,"Costa Rica",2
"1408",2000,"Croatia",10
"1409",2000,"Cuba",65
"1410",2000,"Czech Republic",7
"1411",2000,"Czech Republic-1",2
"1412",2000,"Denmark",25
"1413",2000,"Estonia",3
"1414",2000,"Ethiopia",8
"1415",2000,"Finland",5
"1416",2000,"France",64
"1417",2000,"France-1",2
"1418",2000,"Georgia",6
"1419",2000,"Germany",116
"1420",2000,"Germany-1",2
"1421",2000,"Great Britain",52
"1422",2000,"Great Britain-2",2
"1423",2000,"Greece",18
"1424",2000,"Hungary",53
"1425",2000,"Iceland",1
"1426",2000,"India",1
"1427",2000,"Indonesia",6
"1428",2000,"Indonesia-1",2
"1429",2000,"Iran",4
"1430",2000,"Ireland",1
"1431",2000,"Israel",1
"1432",2000,"Italy",65
"1433",2000,"Jamaica",23
"1434",2000,"Japan",44
"1435",2000,"Kazakhstan",7
"1436",2000,"Kenya",7
"1437",2000,"Kuwait",1
"1438",2000,"Kyrgyzstan",1
"1439",2000,"Latvia",3
"1440",2000,"Lithuania",17
"1441",2000,"Macedonia",1
"1442",2000,"Mexico",6
"1443",2000,"Moldova",2
"1444",2000,"Morocco",5
"1445",2000,"Mozambique",1
"1446",2000,"Netherlands",79
"1447",2000,"New Zealand",4
"1448",2000,"Nigeria",8
"1449",2000,"North Korea",4
"1450",2000,"Norway",43
"1451",2000,"Poland",22
"1452",2000,"Poland-1",2
"1453",2000,"Portugal",2
"1454",2000,"Qatar",1
"1455",2000,"Romania",46
"1456",2000,"Russia",187
"1457",2000,"Saudi Arabia",2
"1458",2000,"Serbia and Montenegro",25
"1459",2000,"Slovakia",6
"1460",2000,"Slovenia",3
"1461",2000,"South Africa",5
"1462",2000,"South Korea",67
"1463",2000,"South Korea-1",4
"1464",2000,"South Korea-2",2
"1465",2000,"Spain",42
"1466",2000,"Sri Lanka",1
"1467",2000,"Sweden",32
"1468",2000,"Switzerland",14
"1469",2000,"Thailand",3
"1470",2000,"Trinidad and Tobago",2
"1471",2000,"Turkey",5
"1472",2000,"Ukraine",35
"1473",2000,"United States",240
"1474",2000,"United States-1",2
"1475",2000,"Uruguay",1
"1476",2000,"Uzbekistan",4
"1477",2000,"Vietnam",1
"1478",2002,"Australia",2
"1479",2002,"Austria",20
"1480",2002,"Belarus",1
"1481",2002,"Bulgaria",3
"1482",2002,"Canada",72
"1483",2002,"Canada-1",2
"1484",2002,"China",14
"1485",2002,"China-1",2
"1486",2002,"Croatia",4
"1487",2002,"Czech Republic",3
"1488",2002,"Estonia",3
"1489",2002,"Finland",13
"1490",2002,"France",13
"1491",2002,"France-1",2
"1492",2002,"Germany",49
"1493",2002,"Germany-1",4
"1494",2002,"Germany-2",8
"1495",2002,"Great Britain",6
"1496",2002,"Italy",19
"1497",2002,"Italy-1",2
"1498",2002,"Japan",2
"1499",2002,"Netherlands",8
"1500",2002,"Norway",41
"1501",2002,"Poland",2
"1502",2002,"Russia",34
"1503",2002,"Russia-1",4
"1504",2002,"Slovenia",4
"1505",2002,"South Korea",7
"1506",2002,"Sweden",26
"1507",2002,"Switzerland",20
"1508",2002,"Switzerland-1",2
"1509",2002,"Switzerland-2",2
"1510",2002,"United States",70
"1511",2002,"United States-1",6
"1512",2002,"United States-2",8
"1513",2004,"Argentina",49
"1514",2004,"Australia",157
"1515",2004,"Austria",8
"1516",2004,"Azerbaijan",5
"1517",2004,"Bahamas",2
"1518",2004,"Belarus",15
"1519",2004,"Belgium",3
"1520",2004,"Brazil",36
"1521",2004,"Brazil-1",4
"1522",2004,"Bulgaria",17
"1523",2004,"Cameroon",1
"1524",2004,"Canada",17
"1525",2004,"Chile",4
"1526",2004,"China",82
"1527",2004,"China-1",8
"1528",2004,"China-2",4
"1529",2004,"Chinese Taipei",9
"1530",2004,"Colombia",2
"1531",2004,"Croatia",21
"1532",2004,"Cuba",62
"1533",2004,"Czech Republic",11
"1534",2004,"Czech Republic-1",2
"1535",2004,"Denmark",27
"1536",2004,"Denmark-2",2
"1537",2004,"Dominican Republic",1
"1538",2004,"Egypt",5
"1539",2004,"Eritrea",1
"1540",2004,"Estonia",3
"1541",2004,"Ethiopia",7
"1542",2004,"Finland",2
"1543",2004,"France",53
"1544",2004,"Georgia",4
"1545",2004,"Germany",147
"1546",2004,"Germany-1",2
"1547",2004,"Great Britain",55
"1548",2004,"Great Britain-1",2
"1549",2004,"Greece",31
"1550",2004,"Hong Kong-2",2
"1551",2004,"Hungary",40
"1552",2004,"India",1
"1553",2004,"Indonesia",3
"1554",2004,"Indonesia-1",2
"1555",2004,"Iran",6
"1556",2004,"Israel",2
"1557",2004,"Italy",104
"1558",2004,"Jamaica",13
"1559",2004,"Japan",93
"1560",2004,"Kazakhstan",8
"1561",2004,"Kenya",7
"1562",2004,"Latvia",4
"1563",2004,"Lithuania",3
"1564",2004,"Mexico",4
"1565",2004,"Mongolia",1
"1566",2004,"Morocco",3
"1567",2004,"Netherlands",77
"1568",2004,"New Zealand",6
"1569",2004,"Nigeria",8
"1570",2004,"North Korea",5
"1571",2004,"Norway",7
"1572",2004,"Paraguay",17
"1573",2004,"Poland",12
"1574",2004,"Portugal",3
"1575",2004,"Romania",39
"1576",2004,"Russia",189
"1577",2004,"Serbia and Montenegro",13
"1578",2004,"Slovakia",10
"1579",2004,"Slovenia",5
"1580",2004,"South Africa",10
"1581",2004,"South Korea",46
"1582",2004,"South Korea-1",4
"1583",2004,"South Korea-2",2
"1584",2004,"Spain",28
"1585",2004,"Spain-2",2
"1586",2004,"Sweden",12
"1587",2004,"Switzerland",5
"1588",2004,"Switzerland-2",2
"1589",2004,"Syria",1
"1590",2004,"Thailand",8
"1591",2004,"Trinidad and Tobago",1
"1592",2004,"Turkey",11
"1593",2004,"Ukraine",47
"1594",2004,"United Arab Emirates",1
"1595",2004,"United States",259
"1596",2004,"United States-1",2
"1597",2004,"United States-2",2
"1598",2004,"Uzbekistan",5
"1599",2004,"Venezuela",2
"1600",2004,"Zimbabwe",3
"1601",2006,"Australia",2
"1602",2006,"Austria",28
"1603",2006,"Austria-1",2
"1604",2006,"Belarus",1
"1605",2006,"Bulgaria",1
"1606",2006,"Canada",67
"1607",2006,"Canada-1",2
"1608",2006,"China",9
"1609",2006,"China-1",2
"1610",2006,"China-3",2
"1611",2006,"Croatia",3
"1612",2006,"Czech Republic",27
"1613",2006,"Estonia",3
"1614",2006,"Finland",41
"1615",2006,"France",15
"1616",2006,"Germany",44
"1617",2006,"Germany-1",10
"1618",2006,"Great Britain",1
"1619",2006,"Italy",21
"1620",2006,"Italy-1",4
"1621",2006,"Japan",1
"1622",2006,"Latvia",1
"1623",2006,"Netherlands",13
"1624",2006,"Norway",23
"1625",2006,"Poland",2
"1626",2006,"Russia",33
"1627",2006,"Russia-1",8
"1628",2006,"Slovakia",1
"1629",2006,"South Korea",19
"1630",2006,"Sweden",64
"1631",2006,"Switzerland",15
"1632",2006,"Switzerland-1",6
"1633",2006,"Ukraine",1
"1634",2006,"Ukraine-1",2
"1635",2006,"United States",48
"1636",2006,"United States-1",4
"1637",2008,"Afghanistan",1
"1638",2008,"Algeria",2
"1639",2008,"Argentina",51
"1640",2008,"Armenia",6
"1641",2008,"Australia",149
"1642",2008,"Austria",3
"1643",2008,"Azerbaijan",7
"1644",2008,"Bahamas",7
"1645",2008,"Belarus",29
"1646",2008,"Belgium",5
"1647",2008,"Bonaparte",1
"1648",2008,"Brazil",74
"1649",2008,"Brazil-1",2
"1650",2008,"Brazil-2",2
"1651",2008,"Bulgaria",5
"1652",2008,"Cameroon",1
"1653",2008,"Canada",35
"1654",2008,"Chile",1
"1655",2008,"China",170
"1656",2008,"China-1",10
"1657",2008,"China-2",4
"1658",2008,"Chinese Taipei",4
"1659",2008,"Clearwater",1
"1660",2008,"Colombia",2
"1661",2008,"Croatia",5
"1662",2008,"Cuba",47
"1663",2008,"Czech Republic",7
"1664",2008,"Denmark",16
"1665",2008,"Digby",1
"1666",2008,"Dominican Republic",2
"1667",2008,"Don Schufro",1
"1668",2008,"Ecuador",1
"1669",2008,"Egypt",1
"1670",2008,"Elvis Va",1
"1671",2008,"Estonia",3
"1672",2008,"Ethiopia",7
"1673",2008,"Finland",5
"1674",2008,"France",77
"1675",2008,"Georgia",6
"1676",2008,"Germany",96
"1677",2008,"Great Britain",81
"1678",2008,"Greece",7
"1679",2008,"Hungary",27
"1680",2008,"Iceland",14
"1681",2008,"India",3
"1682",2008,"Indonesia",3
"1683",2008,"Indonesia-1",4
"1684",2008,"Iran",2
"1685",2008,"Ireland",3
"1686",2008,"Israel",1
"1687",2008,"Italy",42
"1688",2008,"Jamaica",14
"1689",2008,"Japan",51
"1690",2008,"Kazakhstan",13
"1691",2008,"Kenya",15
"1692",2008,"Kyrgyzstan",2
"1693",2008,"Latvia",3
"1694",2008,"Lithuania",5
"1695",2008,"Malaysia",1
"1696",2008,"Mauritius",1
"1697",2008,"Mexico",4
"1698",2008,"Moldova",1
"1699",2008,"Mongolia",4
"1700",2008,"Morocco",2
"1701",2008,"Nadine",1
"1702",2008,"Netherlands",58
"1703",2008,"New Zealand",15
"1704",2008,"Nigeria",23
"1705",2008,"North Korea",6
"1706",2008,"Norway",22
"1707",2008,"Panama",1
"1708",2008,"Poland",20
"1709",2008,"Portugal",2
"1710",2008,"Romania",22
"1711",2008,"Russia",142
"1712",2008,"Salinero",1
"1713",2008,"Satchmo",1
"1714",2008,"Serbia",15
"1715",2008,"Singapore",3
"1716",2008,"Slovakia",10
"1717",2008,"Slovenia",5
"1718",2008,"South Africa",1
"1719",2008,"South Korea",72
"1720",2008,"South Korea-1",6
"1721",2008,"Spain",68
"1722",2008,"Spain-1",2
"1723",2008,"Sudan",1
"1724",2008,"Sunrise",1
"1725",2008,"Sweden",5
"1726",2008,"Sweden-2",2
"1727",2008,"Switzerland",11
"1728",2008,"Tajikistan",2
"1729",2008,"Thailand",4
"1730",2008,"Togo",1
"1731",2008,"Trinidad and Tobago",6
"1732",2008,"Tunisia",1
"1733",2008,"Turkey",7
"1734",2008,"Ukraine",31
"1735",2008,"United States",309
"1736",2008,"United States-1",6
"1737",2008,"United States-2",2
"1738",2008,"Uzbekistan",6
"1739",2008,"Venezuela",1
"1740",2008,"Vietnam",1
"1741",2008,"Zimbabwe",4
"1742",2010,"Australia",3
"1743",2010,"Austria",24
"1744",2010,"Austria-1",2
"1745",2010,"Belarus",3
"1746",2010,"Canada",80
"1747",2010,"Canada-1",8
"1748",2010,"Canada-2",2
"1749",2010,"China",15
"1750",2010,"China-1",2
"1751",2010,"China-2",2
"1752",2010,"Croatia",3
"1753",2010,"Czech Republic",9
"1754",2010,"Estonia",1
"1755",2010,"Finland",47
"1756",2010,"France",14
"1757",2010,"Germany",42
"1758",2010,"Germany-1",8
"1759",2010,"Germany-2",4
"1760",2010,"Great Britain",1
"1761",2010,"Italy",5
"1762",2010,"Japan",7
"1763",2010,"Kazakhstan",1
"1764",2010,"Latvia",1
"1765",2010,"Latvia-1",2
"1766",2010,"Netherlands",11
"1767",2010,"Norway",39
"1768",2010,"Poland",8
"1769",2010,"Russia",21
"1770",2010,"Russia-1",4
"1771",2010,"Slovakia",3
"1772",2010,"Slovenia",3
"1773",2010,"South Korea",18
"1774",2010,"Sweden",18
"1775",2010,"Switzerland",12
"1776",2010,"United States",89
"1777",2010,"United States-1",6
"1778",2010,"United States-2",2
"1779",2012,"Afghanistan",1
"1780",2012,"Algeria",1
"1781",2012,"Argentina",19
"1782",2012,"Armenia",3
"1783",2012,"Australia",114
"1784",2012,"Azerbaijan",10
"1785",2012,"Bahamas",4
"1786",2012,"Bahrain",1
"1787",2012,"Belarus",23
"1788",2012,"Belgium",3
"1789",2012,"Botswana",1
"1790",2012,"Brazil",55
"1791",2012,"Brazil-1",4
"1792",2012,"Bulgaria",2
"1793",2012,"Canada",55
"1794",2012,"China",117
"1795",2012,"China-1",6
"1796",2012,"China-2",2
"1797",2012,"Chinese Taipei",2
"1798",2012,"Colombia",8
"1799",2012,"Croatia",35
"1800",2012,"Cuba",14
"1801",2012,"Cyprus",1
"1802",2012,"Czech Republic",12
"1803",2012,"Czech Republic-1",2
"1804",2012,"Denmark",14
"1805",2012,"Denmark-1",2
"1806",2012,"Dominican Republic",2
"1807",2012,"Egypt",2
"1808",2012,"Estonia",2
"1809",2012,"Ethiopia",7
"1810",2012,"Finland",5
"1811",2012,"France",78
"1812",2012,"France-1",2
"1813",2012,"France-2",2
"1814",2012,"Gabon",1
"1815",2012,"Georgia",7
"1816",2012,"Germany",92
"1817",2012,"Germany-1",2
"1818",2012,"Great Britain",122
"1819",2012,"Great Britain-1",2
"1820",2012,"Great Britain-2",2
"1821",2012,"Greece",3
"1822",2012,"Grenada",1
"1823",2012,"Guatemala",1
"1824",2012,"Hong Kong",1
"1825",2012,"Hungary",26
