"","Year","Team","total"
"157",1906,"Bohemia",3
"158",1906,"Bucintoro Venezia",8
"159",1906,"Bucintoro Venezia-1",3
"160",1906,"Canada",2
"161",1906,"Denmark",34
"162",1906,"Finland",4
"163",1906,"France",45
"164",1906,"Germany",30
"165",1906,"Great Britain",31
"166",1906,"Greece",28
"167",1906,"Greece-1",4
"168",1906,"Greece-2",2
"169",1906,"Hungary",13
"170",1906,"Italy",9
"171",1906,"Large boat, Central Naval Prep School ""Poros""-1",17
"172",1906,"Life boat naval ship ""Spetsai""-1",7
"173",1906,"Marinai della nave da guerra ""Varese""",24
"174",1906,"Netherlands",6
"175",1906,"Norway",25
"176",1906,"Omas Helliniki P. S.",8
"177",1906,"Phalainis ton Thorichtou ""Hydra""-2",24
"178",1906,"Pistoja/Firenze",9
"179",1906,"Royal Club Nautique de Gand",3
"180",1906,"Smyrna",11
"181",1906,"Socit Nautique de Bayonne-1",3
"182",1906,"Socit Nautique de Bayonne-2",5
"183",1906,"Socit Nautique de la Basse Seine-1",8
"184",1906,"Sweden",21
"185",1906,"Switzerland",12
"186",1906,"Thessalonki-1",11
"187",1906,"United States",24
"188",1908,"Amstel Amsterdam",4
"189",1908,"Argonaut Rowing Club",6
"190",1908,"Australasia",19
"191",1908,"Austria",1
"192",1908,"Belgium",21
"193",1908,"Berliner Ruderclub",2
"194",1908,"Bohemia",6
"195",1908,"Cambridge University Boat Club-2",9
"196",1908,"Camille",1
"197",1908,"Canada",37
"198",1908,"Cobweb-1",5
"199",1908,"Cornwall",15
"200",1908,"Denmark",17
"201",1908,"Dormy-1",3
"202",1908,"England-1",11
"203",1908,"Finland",30
"204",1908,"France",36
"205",1908,"Germany",19
"206",1908,"Great Britain",167
"207",1908,"Great Britain-1",14
"208",1908,"Great Britain-2",14
"209",1908,"Great Britain-3",4
"210",1908,"Greece",4
"211",1908,"Guyoni",3
"212",1908,"Gyrinus-1",6
"213",1908,"Hera-1",10
"214",1908,"Heroine",4
"215",1908,"Hungary",20
"216",1908,"Hurlingham-2",4
"217",1908,"Ireland-2",12
"218",1908,"Ireland-3",4
"219",1908,"Italy",8
"220",1908,"K Division Metropolitan Police Team-3",8
"221",1908,"Leander Club-1",9
"222",1908,"Leander Club-2",4
"223",1908,"Leander Club #1-1",2
"224",1908,"Leander Club #2-2",2
"225",1908,"Liverpool Police Team-2",8
"226",1908,"London City Police-1",8
"227",1908,"Magdalen College Boat Club-1",4
"228",1908,"Mouchette-2",10
"229",1908,"Netherlands",12
"230",1908,"Norway",42
"231",1908,"Roehampton-1",4
"232",1908,"Royal Club Nautique de Gand",9
"233",1908,"Russia",3
"234",1908,"Scotland-3",11
"235",1908,"Sorais-2",5
"236",1908,"South Africa",2
"237",1908,"Sweden",79
"238",1908,"Toronto Argonauts",9
"239",1908,"United States",65
"240",1908,"Vinga-1",5
"241",1908,"Wales-4",11
"242",1908,"Zut",3
"243",1912,"Australasia",10
"244",1912,"Austria",14
"245",1912,"Belgium",19
"246",1912,"Berliner Ruderverein von 1876-2",9
"247",1912,"Canada",8
"248",1912,"Denmark",74
"249",1912,"England",1
"250",1912,"England-1",12
"251",1912,"Erna Signe",10
"252",1912,"Finland",52
"253",1912,"France",23
"254",1912,"Gallia II",7
"255",1912,"Germany",39
"256",1912,"Great Britain",128
"257",1912,"Great Britain-1",2
"258",1912,"Great Britain-2",4
"259",1912,"Greece",2
"260",1912,"Heatherbell",7
"261",1912,"Hungary",30
"262",1912,"Italy",25
"263",1912,"Kerstin-1",3
"264",1912,"Kitty-1",8
"265",1912,"Kristiania Roklub-1",5
"266",1912,"Leander Club-1",9
"267",1912,"Lucky Girl-1",5
"268",1912,"Ludwigshafener Ruderverein",5
"269",1912,"Mac Miche",3
"270",1912,"Magda IX",10
"271",1912,"Netherlands",26
"272",1912,"New College, Oxford-2",9
"273",1912,"Nina",7
"274",1912,"Norway",55
"275",1912,"Nurdug II",3
"276",1912,"Nykjbings paa Falster",5
"277",1912,"Ormsund Roklub-2",5
"278",1912,"Polyteknisk Roklub-1",5
"279",1912,"Roddklubben af 1912-1",5
"280",1912,"Russia",7
"281",1912,"Sans Atout-1",5
"282",1912,"South Africa",7
"283",1912,"Sweden",153
"284",1912,"Sweden-1",2
"285",1912,"Sweden-2",2
"286",1912,"Sweden-3",2
"287",1912,"Switzerland",2
"288",1912,"Taifun",5
"289",1912,"Thames Rowing Club",5
"290",1912,"United States",107
"291",1920,"Ancora",4
